,address,Eligible Tokens Held,SPAD Holder,Token Held Allocation,BOS Collection,BOS Allocation,Unique STAMP Collections,STAMP Held Allocation,Total Allocation Amt
54,bc1q96lkd20wzdykz3q3mrpnpza84uv3upmyk0eft2,4,true,21000,0,0,1,5000,26000
55,17DEusWPGwviGtGMVd4wHBf7Jc1U5oZUnh,4,false,12000,0,0,1,5000,17000
56,bc1qgv5z0a2fs0kvl9p0vr3ua2thpmlmhxxrcw6qxv,4,false,12000,0,0,0,0,12000
57,bc1qjyl3pyz40hhmkh67a858hcura0xgxjym0cef4t,4,false,12000,0,0,1,5000,17000
58,bc1qp7xwd4m2psxh4skvyrxrekw5aex86xakulzndf,4,false,12000,0,0,0,0,12000
59,bc1pdxulwjugukzyc9qg7r3j3mm646varr6d2kuzel684tjaawchwutqf95ace,4,false,12000,0,0,0,0,12000
60,bc1qh7czufh02kn5rscjjyctafl3dye4cwqngfzx9l,4,false,12000,0,0,0,0,12000
61,bc1qs6nlfwxuwpdcfqua5dyutdwww96wjzawq4efea,4,false,12000,8,5000,1,5000,17000
62,bc1qm75xmr7n8gdkeq4mffclnwqhuvvv267u8g4v9c,4,false,12000,0,0,1,5000,17000
63,bc1qfvjjlp3edgwt7regm2utwzg9t4npqt7ltjpl2y,4,false,12000,0,0,0,0,12000
64,bc1qj3t9w9n463mq674tw5mlrsh2lxlrdn25yfdvlq,4,false,12000,0,0,0,0,12000
65,bc1plehle3u9lpetmp0hg5l2f8k6wdeydp7dpeezvcefx945fzpepyzsr7x8a2,4,false,12000,0,0,0,0,12000
66,bc1qtuawf0u5fn9axnw7h3570l5ns24fxqgwspsau8,4,false,12000,0,0,0,0,12000
67,bc1qmewdrz07dzxm63evv3qwwsc3zwthu3fnawrmzx,4,false,12000,0,0,0,0,12000
68,bc1qavgvnj2wf8wtwcee7m6m0s8slw4jup29jdzkr3,4,false,12000,0,0,0,0,12000
69,bc1qp5jqzswgkhng3lluf669u4wwnujmsa022msl8p,4,false,12000,0,0,0,0,12000
70,bc1qqjh80yekfsufe90ckl7qujd27d4lx6c5ug26dn,4,false,12000,0,0,0,0,12000
71,bc1q76fr9nyht6fpr9rtapn0d7t4lhuk0s7c0285ap,4,true,21000,0,0,0,0,21000
72,bc1qa5avwjzq3990349s8vumgcue4ycakhm39gjlqe,4,true,21000,0,0,1,5000,26000
73,1MMDtzvJRpdz25qhxnvRYuCPKPvqsjZbmM,4,false,12000,1,5000,2,10000,22000
74,bc1qmhlqd54unlujysxhfydzz2vn2h3w0365knl7yp,4,false,12000,0,0,0,0,12000
75,bc1q46cyu5eapj48grfzhcmkgul89mdq7vukhn6qq6,4,false,12000,0,0,0,0,12000
76,bc1qmscmle3kgwflpke0dgdysf82gvv4ha2r3zcrhh,4,false,12000,0,0,0,0,12000
77,bc1qunty20jvt0e6uvytrcgplazghl8322r6hpauty,4,false,12000,2,5000,2,10000,22000
78,bc1qw89wvqua5pxlh7ev7kcxhd8s55gyh7h436ju55,4,false,12000,0,0,0,0,12000
79,1WweVUK8kLmSNt6yKKqwVxch3Z7Lw5HAY,4,true,21000,30,20000,6,20000,41000
80,bc1qk74tulalc2wvr8jhyu6gfa6s8aususg59s6pxe,4,false,12000,0,0,1,5000,17000
81,bc1qy4fhm6vt768y4syptgepqkurjyz9m5tvca86eu,4,false,12000,0,0,0,0,12000
82,bc1qky7fx9e22tsjppyvjxyut2h676azmce8amncm9,4,false,12000,0,0,0,0,12000
83,bc1qr5u8tppy78sgkffsguqh4kf85697v8j8e40qma,4,true,21000,0,0,0,0,21000
84,bc1q82qd6wgwv8hqt2aphw7avy4w87xd4h64s6kc2m,4,true,21000,0,0,0,0,21000
85,bc1q4ymytf6kxcn7z8nde2aatjs23rz6z3s24csuye,4,false,12000,0,0,0,0,12000
86,bc1q489m8ha47mt2cznn3d582rvfw4ps0lqswurl39,4,false,12000,0,0,0,0,12000
87,145wvcmy69HVGiKNcHtMPifDhHe8uF5A57,4,false,12000,1,5000,2,10000,22000
88,bc1qxqurfzcdjz42pn55vw7hcg73j3xs9zx6gjdd8a,4,true,21000,0,0,0,0,21000
89,bc1q5lahgml7yhmrqutpn02xa2glk3wa4gedm08cnd,4,true,21000,0,0,0,0,21000
90,bc1qeug6a6khl7fquvmjkru9lv0c550477r2d2vuyx,4,true,21000,1,5000,3,15000,36000
91,bc1qft4s9fcggr2n2lsfmxcw9fx62all0cz2nasl8y,4,false,12000,0,0,0,0,12000
92,bc1qhkt3xmlg7ulnpfsq93d5z9tf7vc44tv8uxn0kc,4,true,21000,0,0,0,0,21000
93,bc1qgecra9tfkr32e60s020rzemuajg2vdkzru9xce,4,false,12000,0,0,0,0,12000
94,bc1qt08gvajeyv74sfjdvmpqw5eeusllf3vhw9m82t,4,true,21000,0,0,1,5000,26000
95,bc1q8j2re5k9dynygfp52f5ykr89pmn3rlzvmyaj64,4,false,12000,0,0,1,5000,17000
96,bc1qnmaju6mzv32gjsjk52kg3x2dsw09yfy9x8tsuv,4,true,21000,2,5000,1,5000,26000
97,bc1qtlu72g5j4qzvre792hyxfqpwyfqkrd3y4h6q3c,4,false,12000,0,0,0,0,12000
98,bc1q5fg047ewuheypufek4z3waj72ddny0ty8v7wq7,4,false,12000,0,0,0,0,12000
99,bc1qvs5kkcgzav4g7xly33l8n8rq7sls375l56arf9,4,true,21000,0,0,1,5000,26000
100,bc1qtpa8pmhxz4py29m57hg24xsczxwa75l4dlu3m7,4,true,21000,0,0,0,0,21000
101,bc1qxmh44dhq6gprnawed78lm56cwqk2uqs0lhplq7,4,true,21000,1,5000,1,5000,26000
102,bc1qa6g9dm8qw97t99lne9jctsa5rq95my4u8nk6rc,4,false,12000,0,0,1,5000,17000
103,bc1qhpzxmwcn8fad30d5ddsnmsdqm8l38ndgel0wkj,4,true,21000,0,0,0,0,21000
104,bc1qk4vpz0znazew0w84jysqp42kdg94t5wenv58pd,4,false,12000,0,0,0,0,12000
105,bc1q25dhypgadnugns4ddv5t8a7hgwekvq8f400wev,4,false,12000,0,0,0,0,12000
106,bc1q2dfrph65shy678h37fxj79t2wd8rhuk2zzphzk,4,true,21000,1,5000,1,5000,26000
107,bc1qm7jmfxqwu3uyre0ptpa7jvg9yuxqgxwyu3n8ea,4,true,21000,0,0,0,0,21000
108,bc1qzz2w736g7l5xksjqfs9sc36vwayx0sggj9pfd2,4,false,12000,1,5000,2,10000,22000
109,bc1qzv5gxtw6ws937qtlnw4y26357nzwvkydw2l6a0,4,false,12000,0,0,0,0,12000
110,bc1qartas9v2m42q4cqy3p7n9czqsx68swat0dfzzm,4,false,12000,0,0,0,0,12000
111,bc1qgeran6ygwy3hzufhgr0cv4cuajjuvxnxuftjg9,4,false,12000,0,0,0,0,12000
