address,$viva,bos,kevin,sato,spad,stamp,stmap,utxo,lowest_blockHeight,highest_blockHeight,eligible
bc1qfzqeqvt2lm3nrewfujvg4xld4stwnk2f48cqc0,0,0,0,0,0,2900000.0,0,2300000.0,820320,821560,No
bc1qrmjpzj56fcpeglp5e29fwq85zg2zxgg5unpwmm,0,0,0,0,0,2863888.0,0,5850000.0,822834,824060,No
bc1q99k4g8ds0tnj83tqzrs5tlwvclgfsn3lfylhn4,0,0,645000.0,0,1540000.0,2850000.0,0,0,820944,834248,No
bc1qsz3awf90ux3x47vfu9m924x0mmdy2wlfsn9su5,0,0,69300.0,0,0,2835000.0,0,3600000.0,829574,834747,No
bc1qlndh7kkcee268tnz7rl55q8auaad3csk53v95c,0,0,0,0,0,2800000.0,0,0,832550,832550,No
bc1qfy0d3axt69afcc67h9haxxeyqfmhplas42zcu2,0,0,0,0,0,2700000.0,0,0,829743,829743,No
bc1qa6g9dm8qw97t99lne9jctsa5rq95my4u8nk6rc,420000.0,0,0,0,0,2700000.0,2000000.0,100000.0,820385,835653,No
bc1q9x98wwz47adhxhr7tx5qlgu7ymdcw0srnvnk7s,0,0,0,25000.0,0,2700000.0,0,0,789831,791403,No
bc1qax6dszu7q6tkt90uvkc3v37gnk9ynanylszcqs,0,0,0,0,0,2652500.0,0,0,831400,831400,No
bc1qmd0fc0x3fyh0z97patpzeegzws9n7ene3gtxyh,0,0,0,0,0,2600000.0,0,0,835172,835172,No
bc1qghy0nxxj7dt0qu02xekyplhvt2v0qquarc8nq9,0,0,2010000.0,100000.0,750000.0,2500000.0,66000.0,6000000.0,821334,834380,No
bc1qpv46xlzslqtv9yjjrx6guscvt34dmhahdevmvj,0,0,0,0,0,2429000.0,0,1000000.0,829606,829848,No
bc1qrcwa6g4kn0radryrr90xaxmqd2vqmj7p60p2nl,0,0,100000.0,65000.0,0,2400000.0,0,12000000.0,815932,834798,No
bc1q56gxvv0j574z7zv23wym2qvuq9p3wnmdg0qpuu,0,0,0,0,0,2399000.0,0,0,821344,821344,No
bc1qx37ckwpy34p8023tnx60tm4mr44g4ddzlw23t6,0,0,0,0,0,2300000.0,0,1000000.0,817028,821223,No
bc1qnh04gcylqdaph3frfvkuzw5g4pemwt0nru0pzn,0,0,0,0,0,2297998.0,0,2000000.0,800594,816562,No
bc1qjhzz3323648x8l90dwanajc00eer2calrwcl7q,0,0,0,0,0,2233347.0,0,0,834624,834624,No
bc1q8n2tqzcvej2d74dvn675ef7n7j6taw8l6zc9q5,0,0,4200000.0,0,0,2200000.0,0,0,796689,797083,No
bc1qtz45uyjpq2f5jhgjj4k6gufvtuwryse6c36cnn,0,0,0,0,0,2200000.0,0,0,790250,790250,No
bc1qtjteq5sk0jzye8k3ay7xjlaawancxrrah87c99,0,0,0,0,0,2156000.0,0,0,823885,823885,No
bc1qqhhqt07a0e6599g7dldtdvwd7ezpepnt6lwa00,0,0,0,0,0,2150000.0,0,0,834930,834930,No
bc1q4lckuyn8e7ze84cqppat540aymcs9ul7768rx7,0,0,0,0,0,2150000.0,0,0,820003,820003,No
bc1pq9qpxxsd9zm03hs7hx5c06555uvpuhpduuek548zpemlj8sw6rkqqq76x0,0,0,0,0,0,2131000.0,0,0,826460,826460,No
bc1qa5avwjzq3990349s8vumgcue4ycakhm39gjlqe,100000.0,0,2100000.0,0,100000.0,2100000.0,20000.0,0,797011,834585,No
bc1qdlyh7rcm5rymxk9y6v6huspzq32uw55700tcte,0,0,0,0,0,2100000.0,0,0,789829,789829,No
bc1q3raz037jq6r26f9eqhads3llh9uh5d4jmqu0az,0,0,0,0,0,2080000.0,0,0,820897,820897,No
bc1q0hxmnh2uy38z58u2ylu4yadyrw0gawhnhval6x,0,0,1407300.0,0,0,2075000.0,0,12000000.0,825483,834639,No
bc1qugl9p73nwp6yjtfke6fct7jgghfd4a02vjf3ep,0,0,0,0,0,2050000.0,0,0,828229,828229,No
bc1qayqy4e05m0rmfqqrhkvdlggv4c6qtzwnwrka54,0,0,0,0,0,2030428.0,0,800000.0,821431,835379,No
bc1q660dr8kn7st79ssexetjt0vnhmpa0jzhqget6w,0,0,0,0,0,2010112.0,0,10000000.0,821317,834863,No
bc1q97wzmfyf3lmdjqejlzgnkf4en7hzarfph4kx2x,0,0,0,0,0,2000000.0,0,0,834472,834472,No
bc1q6aw3zaxemk0h9ry736nwhfrc8d279q4pg0mzdt,0,0,0,0,0,2000000.0,0,0,835369,835369,No
bc1q54pxqnwkcph6n4mqadwt0qqsc4q68dqee2gvhx,0,0,0,0,0,2000000.0,0,0,796145,796145,No
bc1q39expkrnsyal7hzp5w0xmk8sgm459rmh5ezmh8,0,0,1000000.0,0,0,2000000.0,0,7343460.0,821173,821460,No
bc1qps92vwurggjz6c9u29mqpa6st8nrechylv88gs,0,0,0,0,0,1980000.0,0,0,818992,818992,No
bc1qnd8kcfvq3plqyfhuvt0x9487lru9hrd6xplfpw,0,0,0,0,0,1972000.0,0,0,834391,834391,No
bc1qr0yktfk3zjynx6l6wc694y68t9scx5pq5metgg,0,0,0,0,0,1959133.0,0,0,832565,832565,No
bc1q0fk05gn5c9zv9nnjqgckp04c0pxgwun9teea4v,0,0,0,5000.0,0,1950000.0,0,0,820504,820546,No
bc1qwsyjd0ux7g6gdlume3gh5apllyp2y6yamqdh60,0,0,100000.0,0,50000.0,1900000.0,0,0,815943,835104,No
bc1qgeran6ygwy3hzufhgr0cv4cuajjuvxnxuftjg9,0,0,100000.0,100000.0,0,1890003.0,75000.0,0,821831,835701,No
bc1qfszt27er4sc2hsflndwxxa7280z7l05t8t6ras,0,0,0,0,0,1880000.0,0,0,829420,829420,No
bc1q2yppazjs67w5x4ujyp2g26rvdmp5yfek578q00,0,0,13860000.0,0,0,1800000.0,0,0,789231,790250,No
bc1q4hemejyxr7e24h8xtspuv9wrcw4nhgnq795lrt,0,0,0,0,0,1795000.0,0,0,832670,832670,No
bc1qxvtams3gj5ye8d2ju07dy7cnuzf8zjaz85y2n6,0,0,0,0,0,1764811.0,0,0,830373,830373,No
bc1qt5jaq320eza85hsa7m637xapa8sq3vr7p5meu3,0,0,0,0,0,1700000.0,0,0,789785,789785,No
bc1qd8tnsy6mq4krtyu32f7qtxyuumpda9gyaylwaw,20000.0,0,0,50000.0,50000.0,1700000.0,1350000.0,0,792250,832559,No
bc1qhl4t797q6wxpqh30ta7k5vlktqc65q6trgujng,0,0,0,0,0,1700000.0,0,0,790253,790253,No
bc1qxxdjxd8gmkygukdf0d62qzhgu7vk2l53rypszx,0,0,0,0,0,1660333.0,0,0,835513,835513,No
bc1qcvse88u4rgwzptcuvn7t9uv7f44n8ljp7zuu22,0,0,50000.0,50000.0,0,1660000.0,238000.0,500000.0,819800,822438,No
bc1qjzkt3qx0k74upmys0kvv6h408gqqrf9u4sc835,0,0,1475000.0,1950000.0,50000.0,1608333.0,100000.0,4000000.0,828867,834663,No
bc1qm9f2hnjwvne45j3duz5qrj9dh6l9p5qugj6s2d,0,0,2100000.0,0,0,1600000.0,0,0,789318,834396,No
bc1q6rajp0wjcmdkdr69grjzs9t5un653wh9uf9q80,0,0,0,0,0,1530000.0,0,0,821020,821020,No
bc1qjzkqu0v9t8tur955z4wlzfrqwjw9dfyrqj9a7r,0,0,0,0,0,1515000.0,0,100000.0,824968,829563,No
bc1q5w8mgefz4gus9aevhfgcecrkztqwnlyjjfkhv5,0,0,0,0,0,1500000.0,0,0,816183,816183,No
bc1qzeduua8vwr6m7uulz7qa2a5q6gaq42vkp8u8yv,0,0,0,0,0,1500000.0,0,0,821727,821727,No
bc1qs23s486tdnkc7xcqx5kpvdx0cl8cex6p0k3ph7,0,0,1500000.0,0,0,1500000.0,0,0,834128,834128,No
bc1qt4ytdh8f0uec2lcgms5q2w8mrkrt7tlqek0ap6,0,0,0,0,0,1500000.0,0,0,817000,817000,No
bc1qew9c9tn8qsvy6rks8s73gm2yseqz0jycmgd94w,0,0,0,251000.0,0,1477000.0,0,0,791886,831899,No
bc1pk8k8f5056wkh4ll20ex8gyusdpcqpxvsar2gs24rfugdwn9re8ys502tyn,0,0,0,0,0,1470000.0,0,0,832002,832002,No
1Nusy3X2BqLwnhQUKmLnoWdvHReXdfYncz,0,0,8224897.0,0,0,1446900.0,0,0,821883,822723,Yes
bc1qnq8juzgzcc53fhvp80l2gsw873su6jpqhf7l4c,0,0,2322600.0,0,0,1446800.0,0,2553000.0,834562,835470,No
bc1qkt4p0yej05uzn0a3aucwn0gqp2emwg25san88g,0,0,0,0,0,1400000.0,0,0,821086,821086,No
